IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
18571306,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,,,,,,,37.998721600,-85.737849900,10.875,11/6/2016 12:00:00 AM,1200,1,1,0,0,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/7/2016 9:47:15 AM,False,060,Accepted,
18571635,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,CENTRAL,,,,,38.037435500,-85.566172700,21.275,11/5/2016 12:00:00 AM,1035,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING RIGHT,ANGLE,STRAIGHT & LEVEL,DUSK,,,11/7/2016 6:46:28 PM,False,7704,Accepted,
18546713,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,HUSTON,,,,,38.006173300,-85.677562400,14.700,11/3/2016 12:00:00 AM,1701,2,2,0,0,CLOUDY,WET,False,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/4/2016 9:46:54 AM,False,056,Accepted,
18549261,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.063658749,-85.488425202,26.163,11/3/2016 12:00:00 AM,2014,1,1,0,1,CLOUDY,WET,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,11/4/2016 3:11:12 PM,False,1126,Accepted,
18577880,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,10000,OLD MILL,RD,,,,,,,,38.045631600,-85.543861300,22.652,11/3/2016 12:00:00 AM,1728,2,2,0,2,CLEAR,DRY,False,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,11/9/2016 2:46:53 PM,False,7723,Accepted,
18587765,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,3500,SHEPHERDSVILLE,RD,,,,,,,,38.006005832,-85.780833061,8.215,11/3/2016 12:00:00 AM,1702,2,2,0,2,RAINING,WET,False,HEAD-ON COLLISION,HEAD ON,CURVE & GRADE,DAYLIGHT,,,11/11/2016 7:27:07 PM,False,1014,Accepted,
18549265,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY1442,2300,CLARKS,LN,,,,,,,,37.996743387,-85.571302914,5.850,11/3/2016 12:00:00 AM,1503,2,2,0,1,RAINING,WET,False,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,CURVE & HILLCREST,DAYLIGHT,,,11/4/2016 3:11:16 PM,False,1013,Accepted,
18615875,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.997195800,-85.700353800,13.295,11/2/2016 12:00:00 AM,1140,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,11/17/2016 3:47:26 PM,False,072,Accepted,
18525959,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,I-65S EXIT RAMP TO KY HWY 44W,,S,KY0044,4TH,,,,,37.994368600,-85.702893500,0.461,11/1/2016 12:00:00 AM,1130,2,2,0,0,CLEAR,DRY,False,REAR END - OTHER,REAR END,CURVE & GRADE,DAYLIGHT,,,11/2/2016 8:46:14 AM,False,070,Accepted,
18571298,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.990278400,-85.707745700,12.666,10/31/2016 12:00:00 AM,0800,2,2,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,REAR END,CURVE & LEVEL,DAYLIGHT,,,11/7/2016 9:46:41 AM,False,060,Accepted,
