IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
14577296,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,500,4TH,ST,E,,,,,,,37.990324100,-85.707921000,12.657,7/13/2015 12:00:00 AM,1410,2,2,0,0,CLOUDY,DRY,False,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & GRADE,DAYLIGHT,,,7/15/2015 3:46:13 PM,False,062,Accepted,
14660381,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,7200,OLD MILL,RD,,,,,,,,38.032468300,-85.595852900,19.595,7/12/2015 12:00:00 AM,1430,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,7/14/2015 7:48:49 AM,False,043,Accepted,
14660334,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,,,,,,,,,,37.989360000,-85.702932100,0.289,7/11/2015 12:00:00 AM,1610,2,2,0,0,CLOUDY,DRY,False,REAR END - ON RAMP,REAR END,CURVE & GRADE,DAYLIGHT,KY0044,I 0065,7/14/2015 7:48:39 AM,False,061,Accepted,
14660308,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,1813,4TH,ST,W,,,,,,,37.999460600,-85.742685800,10.568,7/10/2015 12:00:00 AM,0925,2,2,0,2,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,7/14/2015 7:48:34 AM,False,063,Accepted,
14563556,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,9515,SHEPHERDSVILLE,RD,,,,,,,,38.007683800,-85.815422900,5.522,7/10/2015 12:00:00 AM,1834,1,1,0,0,CLOUDY,WET,False,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,7/16/2015 7:46:46 AM,False,1117,Accepted,
14563553,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,SHEPHERDSVILLE,RD,,KY1526,BROOKS HILL,,,,,38.008384300,-85.865781400,2.680,7/10/2015 12:00:00 AM,1854,2,2,0,0,CLOUDY,WET,False,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,CURVE & HILLCREST,DAYLIGHT,,,7/16/2015 7:46:41 AM,False,1007,Accepted,
14660258,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.999897000,-85.692628700,13.756,7/9/2015 12:00:00 AM,1510,2,2,0,0,CLEAR,DRY,False,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,7/14/2015 7:48:27 AM,False,046,Accepted,
14503136,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.026349200,-85.613156800,18.555,7/9/2015 12:00:00 AM,1553,2,2,0,0,CLOUDY,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,7/13/2015 7:46:01 AM,False,7707,Accepted,
14475456,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,,,,PARK,,SHANNON,37.993385700,-85.723328900,11.793,7/8/2015 12:00:00 AM,1702,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/10/2015 8:46:33 AM,False,029,Accepted,
14660234,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,,,,,,,37.990949800,-85.715909900,12.210,7/8/2015 12:00:00 AM,2142,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,7/14/2015 7:48:19 AM,False,046,Accepted,
